,activation,epochs,loss_,neurons,optimizer_,means
234,tanh,30,binary_crossentropy,128,ftrl,54.98737494150797
235,tanh,30,binary_crossentropy,128,RMSprop,89.55176870028177
236,tanh,30,binary_crossentropy,256,sgd,90.46717286109924
237,tanh,30,binary_crossentropy,256,adam,93.52903962135315
238,tanh,30,binary_crossentropy,256,ftrl,54.98737494150797
239,tanh,30,binary_crossentropy,256,RMSprop,93.3080812295278
240,sigmoid,5,binary_crossentropy,16,sgd,54.98737494150797
241,sigmoid,5,binary_crossentropy,16,adam,54.98737494150797
242,sigmoid,5,binary_crossentropy,16,ftrl,54.98737494150797
243,sigmoid,5,binary_crossentropy,16,RMSprop,54.98737494150797
244,sigmoid,5,binary_crossentropy,32,sgd,54.98737494150797
245,sigmoid,5,binary_crossentropy,32,adam,57.67045418421427
246,sigmoid,5,binary_crossentropy,32,ftrl,54.98737494150797
247,sigmoid,5,binary_crossentropy,32,RMSprop,57.00757702191671
248,sigmoid,5,binary_crossentropy,64,sgd,54.98737494150797
249,sigmoid,5,binary_crossentropy,64,adam,76.83080832163492
250,sigmoid,5,binary_crossentropy,64,ftrl,54.98737494150797
251,sigmoid,5,binary_crossentropy,64,RMSprop,74.49494997660318
252,sigmoid,5,binary_crossentropy,128,sgd,54.98737494150797
253,sigmoid,5,binary_crossentropy,128,adam,90.90909163157144
254,sigmoid,5,binary_crossentropy,128,ftrl,54.98737494150797
255,sigmoid,5,binary_crossentropy,128,RMSprop,86.45833333333334
256,sigmoid,5,binary_crossentropy,256,sgd,54.98737494150797
257,sigmoid,5,binary_crossentropy,256,adam,92.86616245905557
258,sigmoid,5,binary_crossentropy,256,ftrl,54.98737494150797
259,sigmoid,5,binary_crossentropy,256,RMSprop,89.9936854839325
260,sigmoid,10,binary_crossentropy,16,sgd,54.98737494150797
261,sigmoid,10,binary_crossentropy,16,adam,64.83585834503174
262,sigmoid,10,binary_crossentropy,16,ftrl,54.98737494150797
263,sigmoid,10,binary_crossentropy,16,RMSprop,54.98737494150797
264,sigmoid,10,binary_crossentropy,32,sgd,54.98737494150797
265,sigmoid,10,binary_crossentropy,32,adam,76.89393957455954
266,sigmoid,10,binary_crossentropy,32,ftrl,54.98737494150797
267,sigmoid,10,binary_crossentropy,32,RMSprop,75.66287914911905
268,sigmoid,10,binary_crossentropy,64,sgd,54.98737494150797
269,sigmoid,10,binary_crossentropy,64,adam,92.70833333333334
270,sigmoid,10,binary_crossentropy,64,ftrl,54.98737494150797
271,sigmoid,10,binary_crossentropy,64,RMSprop,91.4457062880198
272,sigmoid,10,binary_crossentropy,128,sgd,54.98737494150797
273,sigmoid,10,binary_crossentropy,128,adam,94.381312529246
274,sigmoid,10,binary_crossentropy,128,ftrl,54.98737494150797
275,sigmoid,10,binary_crossentropy,128,RMSprop,87.27904160817465
276,sigmoid,10,binary_crossentropy,256,sgd,54.98737494150797
277,sigmoid,10,binary_crossentropy,256,adam,94.1919207572937
278,sigmoid,10,binary_crossentropy,256,ftrl,54.98737494150797
279,sigmoid,10,binary_crossentropy,256,RMSprop,86.71085834503174
280,sigmoid,15,binary_crossentropy,16,sgd,54.98737494150797
281,sigmoid,15,binary_crossentropy,16,adam,77.11489796638489
282,sigmoid,15,binary_crossentropy,16,ftrl,54.98737494150797
283,sigmoid,15,binary_crossentropy,16,RMSprop,74.14772709210715
284,sigmoid,15,binary_crossentropy,32,sgd,54.98737494150797
285,sigmoid,15,binary_crossentropy,32,adam,78.72474789619446
286,sigmoid,15,binary_crossentropy,32,ftrl,54.98737494150797
287,sigmoid,15,binary_crossentropy,32,RMSprop,85.03787914911905
288,sigmoid,15,binary_crossentropy,64,sgd,54.98737494150797
289,sigmoid,15,binary_crossentropy,64,adam,94.16035612424216
290,sigmoid,15,binary_crossentropy,64,ftrl,54.98737494150797
291,sigmoid,15,binary_crossentropy,64,RMSprop,91.63510004679361
292,sigmoid,15,binary_crossentropy,128,sgd,54.98737494150797
293,sigmoid,15,binary_crossentropy,128,adam,95.42298118273416
294,sigmoid,15,binary_crossentropy,128,ftrl,54.98737494150797
295,sigmoid,15,binary_crossentropy,128,RMSprop,92.01388756434122
296,sigmoid,15,binary_crossentropy,256,sgd,54.98737494150797
297,sigmoid,15,binary_crossentropy,256,adam,95.67550420761108
298,sigmoid,15,binary_crossentropy,256,ftrl,54.98737494150797
299,sigmoid,15,binary_crossentropy,256,RMSprop,91.72979990641275
300,sigmoid,20,binary_crossentropy,16,sgd,54.98737494150797
301,sigmoid,20,binary_crossentropy,16,adam,79.29292917251587
302,sigmoid,20,binary_crossentropy,16,ftrl,54.98737494150797
303,sigmoid,20,binary_crossentropy,16,RMSprop,76.13636255264282
304,sigmoid,20,binary_crossentropy,32,sgd,54.98737494150797
305,sigmoid,20,binary_crossentropy,32,adam,92.01388955116272
306,sigmoid,20,binary_crossentropy,32,ftrl,54.98737494150797
307,sigmoid,20,binary_crossentropy,32,RMSprop,92.42424170176187
308,sigmoid,20,binary_crossentropy,64,sgd,54.98737494150797
309,sigmoid,20,binary_crossentropy,64,adam,93.75
310,sigmoid,20,binary_crossentropy,64,ftrl,54.98737494150797
311,sigmoid,20,binary_crossentropy,64,RMSprop,93.78156661987305
312,sigmoid,20,binary_crossentropy,128,sgd,54.98737494150797
313,sigmoid,20,binary_crossentropy,128,adam,95.20202080408731
314,sigmoid,20,binary_crossentropy,128,ftrl,54.98737494150797
315,sigmoid,20,binary_crossentropy,128,RMSprop,92.73989796638489
316,sigmoid,20,binary_crossentropy,256,sgd,54.98737494150797
317,sigmoid,20,binary_crossentropy,256,adam,95.29671669006348
318,sigmoid,20,binary_crossentropy,256,ftrl,54.98737494150797
319,sigmoid,20,binary_crossentropy,256,RMSprop,90.94065626462302
320,sigmoid,25,binary_crossentropy,16,sgd,54.98737494150797
321,sigmoid,25,binary_crossentropy,16,adam,79.79798118273416
322,sigmoid,25,binary_crossentropy,16,ftrl,54.98737494150797
323,sigmoid,25,binary_crossentropy,16,RMSprop,77.80934373537698
324,sigmoid,25,binary_crossentropy,32,sgd,54.98737494150797
325,sigmoid,25,binary_crossentropy,32,adam,94.0025269985199
326,sigmoid,25,binary_crossentropy,32,ftrl,54.98737494150797
327,sigmoid,25,binary_crossentropy,32,RMSprop,92.89772709210715
328,sigmoid,25,binary_crossentropy,64,sgd,54.98737494150797
329,sigmoid,25,binary_crossentropy,64,adam,95.86489995320639
